Id,OursHex,OemHex,OursDelta[ns],OemDelta[ns],DiffDelta[ns],SameByte
462,00,00,12850.00,10000.00,-2850.00,1
463,00,00,12800.00,9950.00,-2850.00,1
464,00,00,12850.00,9950.00,-2900.00,1
465,00,00,12850.00,10000.00,-2850.00,1
466,CE,A4,12850.00,9950.00,-2900.00,0
467,FF,FF,49648550.00,49413000.00,-235550.00,1
468,FF,FF,10950.00,10950.00,0.00,1
469,02,0D,10950.00,11000.00,50.00,0
470,04,04,10950.00,10950.00,0.00,1
471,02,02,11000.00,10950.00,-50.00,1
472,38,38,10950.00,11000.00,50.00,1
473,11,11,77700.00,126550.00,48850.00,1
474,AE,A3,120600.00,228250.00,107650.00,0
475,FF,FF,57550.00,43900.00,-13650.00,1
476,FF,FF,12850.00,9950.00,-2900.00,1
477,02,0D,12850.00,10000.00,-2850.00,0
478,13,13,12800.00,9950.00,-2850.00,1
479,00,00,12850.00,9950.00,-2900.00,1
480,00,CC,12850.00,10000.00,-2850.00,0
481,00,08,12850.00,9950.00,-2900.00,0
482,00,00,12800.00,9950.00,-2850.00,1
483,80,00,12850.00,10000.00,-2850.00,0
484,1F,00,12850.00,9950.00,-2900.00,0
485,04,00,12850.00,9950.00,-2900.00,0
486,78,7A,12850.00,10000.00,-2850.00,0
487,00,19,12800.00,9950.00,-2850.00,0
488,00,00,12850.00,9950.00,-2900.00,1
489,00,00,12850.00,9950.00,-2900.00,1
490,00,00,12850.00,10000.00,-2850.00,1
491,01,CC,12800.00,9950.00,-2850.00,0
492,00,08,12850.00,9950.00,-2900.00,0
493,00,00,12850.00,9950.00,-2900.00,1
494,00,00,12850.00,10000.00,-2850.00,1
495,00,00,12800.00,9950.00,-2850.00,1
496,00,00,12850.00,9950.00,-2900.00,1
497,CE,A4,12850.00,10000.00,-2850.00,0
498,FF,FF,48892850.00,49105350.00,212500.00,1
499,FF,FF,10950.00,10950.00,0.00,1
500,02,0D,10950.00,11000.00,50.00,0
501,04,04,10950.00,10950.00,0.00,1
502,02,02,11000.00,10950.00,-50.00,1
503,38,38,10950.00,11000.00,50.00,1
504,11,11,99600.00,124550.00,24950.00,1
505,AE,A3,110650.00,80700.00,-29950.00,0
506,FF,FF,56950.00,43900.00,-13050.00,1
507,FF,FF,12850.00,9950.00,-2900.00,1
508,02,0D,12850.00,10000.00,-2850.00,0
509,13,13,12850.00,9950.00,-2900.00,1
510,00,00,12850.00,9950.00,-2900.00,1
511,00,CC,12800.00,10000.00,-2800.00,0
512,00,08,12850.00,9950.00,-2900.00,0
513,00,00,12850.00,9950.00,-2900.00,1
514,80,00,12850.00,9950.00,-2900.00,0
515,1F,00,12850.00,10000.00,-2850.00,0
516,04,00,12800.00,9950.00,-2850.00,0
517,78,7A,12850.00,9950.00,-2900.00,0
518,00,19,12850.00,10000.00,-2850.00,0
519,00,00,12850.00,9950.00,-2900.00,1
